title,description,image,url,keywords,category
Life Cinematic - Series 1: 5. Amma Asante,Amma Asante selects clips from the films that have had the most influence on her work.,https://ichef.bbci.co.uk/images/ic/1200x675/p097pjtl.jpg,https://www.bbc.co.uk/iplayer/episode/m000st4p/life-cinematic-series-1-5-amma-asante,"BBC, iPlayer, TV, Life Cinematic, Series 1: 5. Amma Asante",arts
St David's Day Celebration with Bryn Terfel,"An evening of music to celebrate St David’s Day from Hoddinott Hall, Cardiff.",https://ichef.bbci.co.uk/images/ic/1200x675/p0983zrk.jpg,https://www.bbc.co.uk/iplayer/episode/m000swlp/st-davids-day-celebration-with-bryn-terfel,"BBC, iPlayer, TV, St Davids Day Celebration with Bryn Terfel",arts
Women in Film: BBC Introducing Arts,Janina Ramirez presents an intriguing collection of short films by new female film-makers.,https://ichef.bbci.co.uk/images/ic/1200x675/p098kxtj.jpg,https://www.bbc.co.uk/iplayer/episode/m000t0xs/women-in-film-bbc-introducing-arts,"BBC, iPlayer, TV, Women in Film: BBC Introducing Arts",arts
Eye of the Storm,"One of Scotland’s finest landscape artists, eyesight failing, attempts one last painting.",https://ichef.bbci.co.uk/images/ic/1200x675/p09bxlxq.jpg,https://www.bbc.co.uk/iplayer/episode/m000tsfv/eye-of-the-storm,"BBC, iPlayer, TV, Eye of the Storm",arts
Shelf Isolation - Series 2: Episode 6,Damian Barr talks to Two Doors Down star Alex Norton.,https://ichef.bbci.co.uk/images/ic/1200x675/p09c56hp.jpg,https://www.bbc.co.uk/iplayer/episode/m000v0fk/shelf-isolation-series-2-episode-6,"BBC, iPlayer, TV, Shelf Isolation, Series 2: Episode 6",arts
Dancing Nation - 2. Highlights,Highlights of world-class performances by the UK’s leading dance companies. ,https://ichef.bbci.co.uk/images/ic/1200x675/p091jy15.jpg,https://www.bbc.co.uk/iplayer/episode/m000w06v/dancing-nation-2-highlights,"BBC, iPlayer, TV, Dancing Nation, 2. Highlights",arts
Dark Matter: A History of the Afrofuture,"How and why black artists, from Jean-Michel Basquiat to Grace Jones, use the sci-fi genre.",https://ichef.bbci.co.uk/images/ic/1200x675/p09hxkmy.jpg,https://www.bbc.co.uk/iplayer/episode/m000wfcj/dark-matter-a-history-of-the-afrofuture,"BBC, iPlayer, TV, Dark Matter: A History of the Afrofuture",arts
Arena: African Apocalypse,Femi Nylander travels to West Africa to discover the impact of century-old atrocities.,https://ichef.bbci.co.uk/images/ic/1200x675/p09hv0vp.jpg,https://www.bbc.co.uk/iplayer/episode/m000wgw9/arena-african-apocalypse,"BBC, iPlayer, TV, Arena: African Apocalypse",arts
Coventry Cathedral: Building for a New Britain,The story of the 1962 rebuilding of Coventry Cathedral after its destruction in WWII.,https://ichef.bbci.co.uk/images/ic/1200x675/p09kltqr.jpg,https://www.bbc.co.uk/iplayer/episode/m000wvm3/coventry-cathedral-building-for-a-new-britain,"BBC, iPlayer, TV, Coventry Cathedral: Building for a New Britain",arts
Great British Photography Challenge - Series 1: Episode 4,"To win the series, the amateurs must face three final assignments and mount an exhibition.",https://ichef.bbci.co.uk/images/ic/1200x675/p09kt2lh.jpg,https://www.bbc.co.uk/iplayer/episode/m000x294/great-british-photography-challenge-series-1-episode-4,"BBC, iPlayer, TV, Great British Photography Challenge, Series 1: Episode 4",arts
A Pandemic Poem: Where Did the World Go?,A powerful and moving poetic examination of the pandemic with people from across Britain.,https://ichef.bbci.co.uk/images/ic/1200x675/p09kz6rs.jpg,https://www.bbc.co.uk/iplayer/episode/m000x2mh/a-pandemic-poem-where-did-the-world-go,"BBC, iPlayer, TV, A Pandemic Poem: Where Did the World Go?",arts
Kirsty Wark Meets Artist Bridget Riley,Celebrated artist Bridget Riley talks to Kirsty Wark.,https://ichef.bbci.co.uk/images/ic/1200x675/p09kl3p6.jpg,https://www.bbc.co.uk/iplayer/episode/m000x3qb/kirsty-wark-meets-artist-bridget-riley,"BBC, iPlayer, TV, Kirsty Wark Meets Artist Bridget Riley",arts
